CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
CRUZEIRO;-22,57532922;-44,9462778;74961
CRUZEIRO;-22,56636073;-44,94248898;74961
CRUZEIRO;-22,5592359;-44,9554969;74961
CRUZEIRO;-22,56243498;-44,93216658;74961
CRUZEIRO;-22,56739774;-44,94379938;74961
CRUZEIRO;-22,5870594;-44,9764583;74961
CRUZEIRO;-22,5892408;-44,96431142;74961
CRUZEIRO;-22,62356521;-44,90997907;74961
CRUZEIRO;-22,56157026;-44,96454459;74961
CUNHA;-23,0628904;-44,9713237;22110
CUNHA;-23,07452374;-44,95947573;22110
CUNHA;-23,0742552;-44,9599343;22110
CUNHA;-23,0688565;-44,9614922;22110
GUARATINGUETA;-22,81386706;-45,19789849;118044
GUARATINGUETA;-22,80053949;-45,19781195;118044
GUARATINGUETA;-22,77298245;-45,18805972;118044
GUARATINGUETA;-22,80053949;-45,19781195;118044
GUARATINGUETA;-22,79708764;-45,17486348;118044
GUARATINGUETA;-22,78752453;-45,15209427;118044
GUARATINGUETA;-22,7724553;-45,1846923;118044
GUARATINGUETA;-22,79042413;-45,1528753;118044
GUARATINGUETA;-22,7861535;-45,1769947;118044
GUARATINGUETA;-22,7723978;-45,1891299;118044
GUARATINGUETA;-22,79671634;-45,17777735;118044
GUARATINGUETA;-22,79671634;-45,17777735;118044
GUARATINGUETA;-22,78752453;-45,15209427;118044
GUARATINGUETA;-22,8128263;-45,17830646;118044
GUARATINGUETA;-22,81448708;-45,19725663;118044
GUARATINGUETA;-22,8128263;-45,17830646;118044
GUARATINGUETA;-22,80596945;-45,24547247;118044
GUARATINGUETA;-22,80783;-45,1796839;118044
GUARATINGUETA;-22,78752453;-45,15209427;118044
GUARATINGUETA;-22,77307465;-45,18945236;118044
GUARATINGUETA;-22,79671634;-45,17777735;118044
GUARATINGUETA;-22,79708764;-45,17486348;118044
GUARATINGUETA;-22,7875431;-45,1519163;118044
GUARATINGUETA;-22,8262021;-45,1956505;118044
GUARATINGUETA;-22,7861535;-45,1769947;118044
GUARATINGUETA;-22,77101641;-45,20979347;118044
GUARATINGUETA;-22,78319595;-45,18338231;118044
GUARATINGUETA;-22,922682;-45,0844775;118044
